id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
335982,2,13,1,"Z Khan","P Kumar","SC Ganguly",0,0,0,1,bowled,"Z Khan",NA,NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
335982,2,15,2,"SB Joshi","P Kumar","LR Shukla",0,0,0,1,caught,"SB Joshi","BB McCullum",NA,"Royal Challengers Bangalore","Kolkata Knight Riders"
335983,1,2,5,"PA Patel","ML Hayden","B Lee",0,0,0,1,caught,"PA Patel","KC Sangakkara",NA,"Chennai Super Kings","Kings XI Punjab"
335983,1,6,2,"ML Hayden","MEK Hussey","IK Pathan",0,0,0,1,bowled,"ML Hayden",NA,NA,"Chennai Super Kings","Kings XI Punjab"
335983,1,7,1,"MS Dhoni","MEK Hussey","JR Hopes",0,0,0,1,lbw,"MS Dhoni",NA,NA,"Chennai Super Kings","Kings XI Punjab"
335983,1,12,2,"SK Raina","MEK Hussey","WA Mota",0,0,0,1,caught,"SK Raina","IK Pathan",NA,"Chennai Super Kings","Kings XI Punjab"
335983,1,15,3,"JDP Oram","MEK Hussey","IK Pathan",0,0,0,1,bowled,"JDP Oram",NA,NA,"Chennai Super Kings","Kings XI Punjab"
335983,2,5,6,"K Goel","JR Hopes","MS Gony",0,0,0,1,caught,"K Goel","PA Patel",NA,"Kings XI Punjab","Chennai Super Kings"
335983,2,10,2,"JR Hopes","KC Sangakkara","P Amarnath",0,0,0,1,caught,"JR Hopes","Joginder Sharma",NA,"Kings XI Punjab","Chennai Super Kings"
335983,2,14,2,"Yuvraj Singh","KC Sangakkara","Joginder Sharma",0,0,0,1,caught,"Yuvraj Singh","P Amarnath",NA,"Kings XI Punjab","Chennai Super Kings"
335983,2,17,4,"KC Sangakkara","SM Katich","M Muralitharan",0,0,0,1,caught,"KC Sangakkara","Joginder Sharma",NA,"Kings XI Punjab","Chennai Super Kings"
335984,1,2,3,"T Kohli","YK Pathan","GD McGrath",0,0,0,1,caught,"T Kohli","M Manhas",NA,"Rajasthan Royals","Delhi Daredevils"
335984,1,3,5,"YK Pathan","SR Watson","B Geeves",0,0,0,1,"run out","YK Pathan",NA,NA,"Rajasthan Royals","Delhi Daredevils"
335984,1,6,2,"SR Watson","M Kaif","R Bhatia",1,0,1,1,"run out","SR Watson",NA,NA,"Rajasthan Royals","Delhi Daredevils"
335984,1,7,4,"DS Lehmann","M Kaif","MF Maharoof",0,0,0,1,lbw,"DS Lehmann",NA,NA,"Rajasthan Royals","Delhi Daredevils"
335984,1,10,3,"M Kaif","RA Jadeja","R Bhatia",0,0,0,1,caught,"M Kaif","B Geeves",NA,"Rajasthan Royals","Delhi Daredevils"
335984,1,12,1,"M Rawat","RA Jadeja","R Bhatia",0,0,0,1,bowled,"M Rawat",NA,NA,"Rajasthan Royals","Delhi Daredevils"
335984,1,14,2,"RA Jadeja","D Salunkhe","DL Vettori",0,0,0,1,bowled,"RA Jadeja",NA,NA,"Rajasthan Royals","Delhi Daredevils"
335984,1,17,1,"SK Warne","D Salunkhe","MF Maharoof",0,0,0,1,bowled,"SK Warne",NA,NA,"Rajasthan Royals","Delhi Daredevils"
335984,2,1,4,"V Sehwag","G Gambhir","SR Watson",0,0,0,1,bowled,"V Sehwag",NA,NA,"Delhi Daredevils","Rajasthan Royals"
335985,1,1,5,"L Ronchi","ST Jayasuriya","Z Khan",0,0,0,1,caught,"L Ronchi","V Kohli",NA,"Mumbai Indians","Royal Challengers Bangalore"
335985,1,3,4,"DJ Thornely","ST Jayasuriya","Z Khan",0,0,0,1,"retired hurt","DJ Thornely",NA,NA,"Mumbai Indians","Royal Challengers Bangalore"
335985,1,5,4,"ST Jayasuriya","RV Uthappa","Z Khan",0,0,0,1,"run out","ST Jayasuriya","Z Khan",NA,"Mumbai Indians","Royal Challengers Bangalore"
335985,1,13,3,"PR Shah","RV Uthappa","B Akhil",0,0,0,1,caught,"PR Shah","V Kohli",NA,"Mumbai Indians","Royal Challengers Bangalore"
335985,1,16,5,"RV Uthappa","AM Nayar","B Akhil",0,0,0,1,stumped,"RV Uthappa","MV Boucher",NA,"Mumbai Indians","Royal Challengers Bangalore"
335985,1,18,5,"AM Nayar","SM Pollock","P Kumar",0,0,0,1,caught,"AM Nayar","Z Khan",NA,"Mumbai Indians","Royal Challengers Bangalore"
335985,1,19,6,"SM Pollock","Harbhajan Singh","Z Khan",0,0,0,1,bowled,"SM Pollock",NA,NA,"Mumbai Indians","Royal Challengers Bangalore"
335985,2,4,7,"S Chanderpaul","R Dravid","DS Kulkarni",0,0,0,1,caught,"S Chanderpaul","AM Nayar",NA,"Royal Challengers Bangalore","Mumbai Indians"
335985,2,8,6,"R Dravid","LRPL Taylor","Harbhajan Singh",0,0,0,1,"caught and bowled","R Dravid",NA,NA,"Royal Challengers Bangalore","Mumbai Indians"
335985,2,9,6,"LRPL Taylor","JH Kallis","ST Jayasuriya",0,0,0,1,caught,"LRPL Taylor","AM Nayar",NA,"Royal Challengers Bangalore","Mumbai Indians"
335985,2,13,4,"V Kohli","JH Kallis","A Nehra",0,0,0,1,caught,"V Kohli","L Ronchi",NA,"Royal Challengers Bangalore","Mumbai Indians"
335985,2,18,4,"JH Kallis","MV Boucher","Harbhajan Singh",0,0,0,1,caught,"JH Kallis","AM Nayar",NA,"Royal Challengers Bangalore","Mumbai Indians"
335986,1,3,2,"Y Venugopal Rao","AC Gilchrist","I Sharma",0,0,0,1,caught,"Y Venugopal Rao","M Kartik",NA,"Deccan Chargers","Kolkata Knight Riders"
335986,1,4,3,"VVS Laxman","AC Gilchrist","AB Dinda",0,0,0,1,caught,"VVS Laxman","LR Shukla",NA,"Deccan Chargers","Kolkata Knight Riders"
335986,1,8,1,"AC Gilchrist","A Symonds","M Kartik",0,0,0,1,caught,"AC Gilchrist","Mohammad Hafeez",NA,"Deccan Chargers","Kolkata Knight Riders"
335986,1,8,4,"RG Sharma","A Symonds","M Kartik",0,0,0,1,caught,"RG Sharma","WP Saha",NA,"Deccan Chargers","Kolkata Knight Riders"
335986,1,11,4,"SB Styris","A Symonds","Mohammad Hafeez",0,0,0,1,bowled,"SB Styris",NA,NA,"Deccan Chargers","Kolkata Knight Riders"
335986,1,14,3,"AS Yadav","A Symonds","DJ Hussey",0,0,0,1,caught,"AS Yadav","AB Dinda",NA,"Deccan Chargers","Kolkata Knight Riders"
335986,1,17,4,"A Symonds","SB Bangar","AB Agarkar",0,0,0,1,caught,"A Symonds","DJ Hussey",NA,"Deccan Chargers","Kolkata Knight Riders"
335986,1,17,6,"WPUJC Vaas","SB Bangar","AB Agarkar",0,0,0,1,caught,"WPUJC Vaas","SC Ganguly",NA,"Deccan Chargers","Kolkata Knight Riders"
335986,1,18,3,"SB Bangar","RP Singh","M Kartik",0,0,0,1,caught,"SB Bangar","WP Saha",NA,"Deccan Chargers","Kolkata Knight Riders"
335986,1,18,4,"RP Singh","PP Ojha","M Kartik",0,0,0,1,"run out","PP Ojha","Mohammad Hafeez,WP Saha",NA,"Deccan Chargers","Kolkata Knight Riders"
335986,2,1,2,"BB McCullum","WP Saha","RP Singh",0,0,0,1,caught,"BB McCullum","RG Sharma",NA,"Kolkata Knight Riders","Deccan Chargers"
335986,2,2,1,"RT Ponting","WP Saha","WPUJC Vaas",0,0,0,1,lbw,"RT Ponting",NA,NA,"Kolkata Knight Riders","Deccan Chargers"
335986,2,4,2,"WP Saha","SC Ganguly","WPUJC Vaas",0,0,0,1,caught,"WP Saha","SB Styris",NA,"Kolkata Knight Riders","Deccan Chargers"
335986,2,12,8,"SC Ganguly","DJ Hussey","PP Ojha",0,0,0,1,bowled,"SC Ganguly",NA,NA,"Kolkata Knight Riders","Deccan Chargers"
335986,2,16,3,"Mohammad Hafeez","DJ Hussey","PP Ojha",0,0,0,1,caught,"Mohammad Hafeez","A Symonds",NA,"Kolkata Knight Riders","Deccan Chargers"
335987,1,4,5,"K Goel","JR Hopes","MM Patel",0,0,0,1,bowled,"K Goel",NA,NA,"Kings XI Punjab","Rajasthan Royals"
335987,1,6,3,"KC Sangakkara","JR Hopes","SK Warne",0,0,0,1,"caught and bowled","KC Sangakkara",NA,NA,"Kings XI Punjab","Rajasthan Royals"
335987,1,7,4,"DPMD Jayawardene","JR Hopes","D Salunkhe",0,0,0,1,stumped,"DPMD Jayawardene","Kamran Akmal",NA,"Kings XI Punjab","Rajasthan Royals"
335987,1,8,6,"JR Hopes","Yuvraj Singh","SK Warne",0,0,0,1,lbw,"JR Hopes",NA,NA,"Kings XI Punjab","Rajasthan Royals"
335987,1,16,5,"Yuvraj Singh","IK Pathan","SK Warne",0,0,0,1,lbw,"Yuvraj Singh",NA,NA,"Kings XI Punjab","Rajasthan Royals"
335987,1,17,2,"IK Pathan","S Sohal","SK Trivedi",0,0,0,1,bowled,"IK Pathan",NA,NA,"Kings XI Punjab","Rajasthan Royals"
335987,1,17,4,"B Lee","S Sohal","SK Trivedi",0,0,0,1,caught,"B Lee","Kamran Akmal",NA,"Kings XI Punjab","Rajasthan Royals"
335987,1,18,6,"S Sohal","PP Chawla","MM Patel",1,0,1,1,"run out","S Sohal","RA Jadeja,Kamran Akmal",NA,"Kings XI Punjab","Rajasthan Royals"
335987,2,1,1,"M Kaif","Kamran Akmal","S Sreesanth",0,0,0,1,caught,"M Kaif","KC Sangakkara",NA,"Rajasthan Royals","Kings XI Punjab"
335987,2,2,3,"YK Pathan","Kamran Akmal","B Lee",0,0,0,1,"caught and bowled","YK Pathan",NA,NA,"Rajasthan Royals","Kings XI Punjab"
335987,2,4,5,"Kamran Akmal","SR Watson","JR Hopes",0,0,0,1,caught,"Kamran Akmal","PP Chawla",NA,"Rajasthan Royals","Kings XI Punjab"
335987,2,11,2,"DS Lehmann","SR Watson","IK Pathan",0,0,0,1,lbw,"DS Lehmann",NA,NA,"Rajasthan Royals","Kings XI Punjab"
335988,1,1,6,"AC Gilchrist","Y Venugopal Rao","Mohammad Asif",0,0,0,1,bowled,"AC Gilchrist",NA,NA,"Deccan Chargers","Delhi Daredevils"
335988,1,5,1,"VVS Laxman","Y Venugopal Rao","Mohammad Asif",0,0,0,1,bowled,"VVS Laxman",NA,NA,"Deccan Chargers","Delhi Daredevils"
335988,1,7,6,"Y Venugopal Rao","A Symonds","MF Maharoof",0,0,0,1,caught,"Y Venugopal Rao","S Dhawan",NA,"Deccan Chargers","Delhi Daredevils"
335988,1,9,3,"A Symonds","RG Sharma","MF Maharoof",0,0,0,1,caught,"A Symonds","KD Karthik",NA,"Deccan Chargers","Delhi Daredevils"
335988,1,12,1,"Shahid Afridi","RG Sharma","R Bhatia",0,0,0,1,lbw,"Shahid Afridi",NA,NA,"Deccan Chargers","Delhi Daredevils"
335988,1,16,1,"SB Bangar","RG Sharma","R Bhatia",0,0,0,1,"run out","SB Bangar","MK Tiwary,KD Karthik",NA,"Deccan Chargers","Delhi Daredevils"
335988,1,18,4,"RG Sharma","AS Yadav","R Bhatia",0,0,0,1,caught,"RG Sharma","GD McGrath",NA,"Deccan Chargers","Delhi Daredevils"
335988,1,19,2,"AS Yadav","WPUJC Vaas","VY Mahesh",0,0,0,1,caught,"AS Yadav","G Gambhir",NA,"Deccan Chargers","Delhi Daredevils"
335988,2,3,3,"G Gambhir","V Sehwag","RP Singh",0,0,0,1,caught,"G Gambhir","AC Gilchrist",NA,"Delhi Daredevils","Deccan Chargers"
335989,1,3,1,"PA Patel","ML Hayden","A Nehra",0,0,0,1,caught,"PA Patel","L Ronchi",NA,"Chennai Super Kings","Mumbai Indians"
335989,1,4,4,"MEK Hussey","ML Hayden","DS Kulkarni",0,0,0,1,bowled,"MEK Hussey",NA,NA,"Chennai Super Kings","Mumbai Indians"
335989,1,14,6,"SK Raina","ML Hayden","MA Khote",0,0,0,1,caught,"SK Raina","DJ Bravo",NA,"Chennai Super Kings","Mumbai Indians"
335989,1,18,7,"MS Dhoni","ML Hayden","A Nehra",0,0,0,1,"run out","ML Hayden","Harbhajan Singh",NA,"Chennai Super Kings","Mumbai Indians"
335989,1,19,5,"MS Dhoni","JDP Oram","MA Khote",0,0,0,1,caught,"MS Dhoni","DJ Bravo",NA,"Chennai Super Kings","Mumbai Indians"
335989,2,0,8,"ST Jayasuriya","L Ronchi","JDP Oram",0,0,0,1,"run out","L Ronchi","S Badrinath",NA,"Mumbai Indians","Chennai Super Kings"
335989,2,3,4,"ST Jayasuriya","RV Uthappa","MS Gony",0,0,0,1,caught,"ST Jayasuriya","Joginder Sharma",NA,"Mumbai Indians","Chennai Super Kings"
335989,2,9,4,"RV Uthappa","SM Pollock","Joginder Sharma",0,0,0,1,bowled,"RV Uthappa",NA,NA,"Mumbai Indians","Chennai Super Kings"
335989,2,11,4,"SM Pollock","DJ Bravo","P Amarnath",0,0,0,1,bowled,"SM Pollock",NA,NA,"Mumbai Indians","Chennai Super Kings"
335989,2,14,2,"DJ Bravo","AM Nayar","Joginder Sharma",0,0,0,1,caught,"DJ Bravo","JDP Oram",NA,"Mumbai Indians","Chennai Super Kings"
335989,2,15,3,"MA Khote","AM Nayar","M Muralitharan",0,0,0,1,caught,"MA Khote","SK Raina",NA,"Mumbai Indians","Chennai Super Kings"
335989,2,18,5,"Harbhajan Singh","AM Nayar","M Muralitharan",0,0,0,1,caught,"Harbhajan Singh","S Badrinath",NA,"Mumbai Indians","Chennai Super Kings"
335990,1,2,2,"AC Gilchrist","VVS Laxman","YK Pathan",0,0,0,1,stumped,"AC Gilchrist","Kamran Akmal",NA,"Deccan Chargers","Rajasthan Royals"
335990,1,2,6,"Shahid Afridi","VVS Laxman","YK Pathan",0,0,0,1,caught,"Shahid Afridi","RA Jadeja",NA,"Deccan Chargers","Rajasthan Royals"
335990,1,8,3,"VVS Laxman","A Symonds","SK Warne",0,0,0,1,"caught and bowled","VVS Laxman",NA,NA,"Deccan Chargers","Rajasthan Royals"
335990,1,17,6,"RG Sharma","A Symonds","SK Warne",0,0,0,1,caught,"RG Sharma","D Salunkhe",NA,"Deccan Chargers","Rajasthan Royals"
335990,1,19,7,"AS Yadav","A Symonds","SR Watson",0,0,0,1,caught,"AS Yadav","Kamran Akmal",NA,"Deccan Chargers","Rajasthan Royals"
335990,2,2,1,"Kamran Akmal","GC Smith","WPUJC Vaas",0,0,0,1,caught,"Kamran Akmal","SB Bangar",NA,"Rajasthan Royals","Deccan Chargers"
335990,2,9,3,"YK Pathan","GC Smith","D Kalyankrishna",0,0,0,1,caught,"YK Pathan","A Symonds",NA,"Rajasthan Royals","Deccan Chargers"
335990,2,11,6,"SR Watson","GC Smith","Shahid Afridi",0,0,0,1,bowled,"SR Watson",NA,NA,"Rajasthan Royals","Deccan Chargers"
335990,2,17,1,"M Kaif","GC Smith","Shahid Afridi",0,0,0,1,caught,"M Kaif","A Symonds",NA,"Rajasthan Royals","Deccan Chargers"
335990,2,17,3,"GC Smith","RA Jadeja","Shahid Afridi",0,0,0,1,caught,"GC Smith","D Kalyankrishna",NA,"Rajasthan Royals","Deccan Chargers"
335990,2,18,3,"RA Jadeja","SK Warne","RP Singh",0,0,0,1,bowled,"RA Jadeja",NA,NA,"Rajasthan Royals","Deccan Chargers"
335990,2,18,5,"SK Warne","D Salunkhe","RP Singh",0,0,0,1,"run out","D Salunkhe","VVS Laxman,RP Singh",NA,"Rajasthan Royals","Deccan Chargers"
335991,1,1,4,"IK Pathan","K Goel","A Nehra",0,0,0,1,caught,"IK Pathan","DS Kulkarni",NA,"Kings XI Punjab","Mumbai Indians"
335991,1,8,1,"KC Sangakkara","K Goel","Harbhajan Singh",0,0,0,1,"run out","K Goel","DJ Bravo,L Ronchi",NA,"Kings XI Punjab","Mumbai Indians"
335991,1,10,6,"Yuvraj Singh","KC Sangakkara","SM Pollock",0,0,0,1,caught,"Yuvraj Singh","DJ Bravo",NA,"Kings XI Punjab","Mumbai Indians"
335991,1,13,5,"RR Sarwan","KC Sangakkara","A Nehra",0,0,0,1,caught,"RR Sarwan","Harbhajan Singh",NA,"Kings XI Punjab","Mumbai Indians"
335991,1,16,4,"DPMD Jayawardene","KC Sangakkara","Harbhajan Singh",0,0,0,1,caught,"DPMD Jayawardene","AM Rahane (sub)",NA,"Kings XI Punjab","Mumbai Indians"
335991,1,17,4,"S Sohal","KC Sangakkara","DS Kulkarni",0,0,0,1,caught,"S Sohal","A Nehra",NA,"Kings XI Punjab","Mumbai Indians"
335991,1,18,2,"KC Sangakkara","B Lee","Harbhajan Singh",0,0,0,1,caught,"KC Sangakkara","DS Kulkarni",NA,"Kings XI Punjab","Mumbai Indians"
335991,1,18,7,"PP Chawla","B Lee","Harbhajan Singh",0,0,0,1,lbw,"PP Chawla",NA,NA,"Kings XI Punjab","Mumbai Indians"
335991,1,19,2,"S Sreesanth","B Lee","DS Kulkarni",0,0,0,1,caught,"S Sreesanth","L Ronchi",NA,"Kings XI Punjab","Mumbai Indians"
335991,1,19,6,"B Lee","VRV Singh","DS Kulkarni",1,0,1,1,"run out","VRV Singh","Harbhajan Singh,L Ronchi",NA,"Kings XI Punjab","Mumbai Indians"
335991,2,2,3,"ST Jayasuriya","L Ronchi","B Lee",0,0,0,1,"caught and bowled","ST Jayasuriya",NA,NA,"Mumbai Indians","Kings XI Punjab"
335991,2,2,4,"RV Uthappa","L Ronchi","B Lee",0,0,0,1,"run out","L Ronchi","B Lee",NA,"Mumbai Indians","Kings XI Punjab"
335991,2,8,4,"DJ Bravo","RV Uthappa","PP Chawla",0,0,0,1,bowled,"DJ Bravo",NA,NA,"Mumbai Indians","Kings XI Punjab"
335991,2,9,1,"RV Uthappa","SS Tiwary","VRV Singh",0,0,0,1,caught,"RV Uthappa","RR Sarwan",NA,"Mumbai Indians","Kings XI Punjab"
335991,2,12,2,"SS Tiwary","SM Pollock","PP Chawla",0,0,0,1,bowled,"SS Tiwary",NA,NA,"Mumbai Indians","Kings XI Punjab"
335991,2,13,1,"AM Nayar","SM Pollock","IK Pathan",0,0,0,1,caught,"AM Nayar","PP Chawla",NA,"Mumbai Indians","Kings XI Punjab"
335991,2,13,2,"Harbhajan Singh","SM Pollock","IK Pathan",0,0,0,1,lbw,"Harbhajan Singh",NA,NA,"Mumbai Indians","Kings XI Punjab"
335991,2,15,2,"SM Pollock","MA Khote","S Sreesanth",0,0,0,1,caught,"SM Pollock","Yuvraj Singh",NA,"Mumbai Indians","Kings XI Punjab"
335991,2,17,2,"MA Khote","DS Kulkarni","S Sreesanth",0,0,0,1,"hit wicket","MA Khote",NA,NA,"Mumbai Indians","Kings XI Punjab"
335992,1,0,2,"R Dravid","S Chanderpaul","SR Watson",0,0,0,1,caught,"R Dravid","RA Jadeja",NA,"Royal Challengers Bangalore","Rajasthan Royals"
335992,1,2,2,"S Chanderpaul","LRPL Taylor","SR Watson",0,0,0,1,caught,"S Chanderpaul","RA Jadeja",NA,"Royal Challengers Bangalore","Rajasthan Royals"
335992,1,6,3,"JH Kallis","LRPL Taylor","SK Trivedi",0,0,0,1,caught,"JH Kallis","MM Patel",NA,"Royal Challengers Bangalore","Rajasthan Royals"
335992,1,7,2,"LRPL Taylor","V Kohli","MM Patel",0,0,0,1,caught,"LRPL Taylor","GC Smith",NA,"Royal Challengers Bangalore","Rajasthan Royals"
335992,1,9,4,"V Kohli","MV Boucher","MM Patel",0,0,0,1,caught,"V Kohli","M Rawat",NA,"Royal Challengers Bangalore","Rajasthan Royals"
335992,1,11,4,"MV Boucher","P Kumar","SK Warne",0,0,0,1,caught,"MV Boucher","M Rawat",NA,"Royal Challengers Bangalore","Rajasthan Royals"
335992,1,13,6,"SB Joshi","P Kumar","SK Warne",0,0,0,1,"run out","SB Joshi","Sohail Tanvir,M Rawat",NA,"Royal Challengers Bangalore","Rajasthan Royals"
335992,1,19,2,"P Kumar","Z Khan","SR Watson",0,0,0,1,"run out","P Kumar","M Rawat,SR Watson",NA,"Royal Challengers Bangalore","Rajasthan Royals"
335992,2,0,4,"M Rawat","GC Smith","P Kumar",0,0,0,1,caught,"M Rawat","MV Boucher",NA,"Rajasthan Royals","Royal Challengers Bangalore"
335992,2,3,2,"YK Pathan","GC Smith","Z Khan",0,0,0,1,caught,"YK Pathan","MV Boucher",NA,"Rajasthan Royals","Royal Challengers Bangalore"
335992,2,15,6,"GC Smith","SR Watson","SB Joshi",0,0,0,1,caught,"GC Smith","A Kumble",NA,"Rajasthan Royals","Royal Challengers Bangalore"
335993,1,2,3,"BB McCullum","SC Ganguly","JDP Oram",0,0,0,1,caught,"BB McCullum","SK Raina",NA,"Kolkata Knight Riders","Chennai Super Kings"
335993,1,2,4,"RT Ponting","SC Ganguly","JDP Oram",0,0,0,1,caught,"RT Ponting","SK Raina",NA,"Kolkata Knight Riders","Chennai Super Kings"
335993,1,5,5,"WP Saha","SC Ganguly","MS Gony",0,0,0,1,bowled,"WP Saha",NA,NA,"Kolkata Knight Riders","Chennai Super Kings"
335993,1,7,2,"DJ Hussey","SC Ganguly","P Amarnath",0,0,0,1,caught,"DJ Hussey","S Badrinath",NA,"Kolkata Knight Riders","Chennai Super Kings"
335993,1,9,3,"SC Ganguly","Mohammad Hafeez","Joginder Sharma",0,0,0,1,caught,"SC Ganguly","S Badrinath",NA,"Kolkata Knight Riders","Chennai Super Kings"
335993,1,14,4,"Mohammad Hafeez","LR Shukla","P Amarnath",0,0,0,1,caught,"Mohammad Hafeez","Joginder Sharma",NA,"Kolkata Knight Riders","Chennai Super Kings"
335993,1,17,2,"AB Agarkar","LR Shukla","MS Gony",0,0,0,1,caught,"AB Agarkar","M Muralitharan",NA,"Kolkata Knight Riders","Chennai Super Kings"
335993,1,18,2,"M Kartik","LR Shukla","JDP Oram",0,0,0,1,"caught and bowled","M Kartik",NA,NA,"Kolkata Knight Riders","Chennai Super Kings"
335993,1,19,6,"LR Shukla","I Sharma","Joginder Sharma",0,0,0,1,"run out","LR Shukla","MS Dhoni,Joginder Sharma",NA,"Kolkata Knight Riders","Chennai Super Kings"
335993,2,8,2,"PA Patel","ML Hayden","AB Agarkar",0,0,0,1,caught,"PA Patel","I Sharma",NA,"Chennai Super Kings","Kolkata Knight Riders"
335994,1,2,2,"L Ronchi","ST Jayasuriya","RP Singh",0,0,0,1,caught,"L Ronchi","VVS Laxman",NA,"Mumbai Indians","Deccan Chargers"
335994,1,3,5,"AM Rahane","ST Jayasuriya","SB Bangar",0,0,0,1,caught,"AM Rahane","PP Ojha",NA,"Mumbai Indians","Deccan Chargers"
335994,1,5,3,"RV Uthappa","ST Jayasuriya","Shahid Afridi",0,0,0,1,caught,"RV Uthappa","AC Gilchrist",NA,"Mumbai Indians","Deccan Chargers"
335994,1,10,3,"ST Jayasuriya","SM Pollock","Shahid Afridi",0,0,0,1,caught,"ST Jayasuriya","RG Sharma",NA,"Mumbai Indians","Deccan Chargers"
335994,1,13,3,"SM Pollock","AM Nayar","SB Bangar",0,0,0,1,bowled,"SM Pollock",NA,NA,"Mumbai Indians","Deccan Chargers"
335994,1,16,4,"AM Nayar","DJ Bravo","DNT Zoysa",0,0,0,1,caught,"AM Nayar","AC Gilchrist",NA,"Mumbai Indians","Deccan Chargers"
335994,1,19,6,"DJ Bravo","MA Khote","RP Singh",0,0,0,1,caught,"DJ Bravo","PP Ojha",NA,"Mumbai Indians","Deccan Chargers"
335995,1,1,5,"V Sehwag","G Gambhir","IK Pathan",0,0,0,1,lbw,"V Sehwag",NA,NA,"Delhi Daredevils","Kings XI Punjab"
335995,1,2,3,"S Dhawan","G Gambhir","B Lee",0,0,0,1,caught,"S Dhawan","KC Sangakkara",NA,"Delhi Daredevils","Kings XI Punjab"
335995,1,5,6,"G Gambhir","Shoaib Malik","VRV Singh",0,0,0,1,caught,"G Gambhir","Yuvraj Singh",NA,"Delhi Daredevils","Kings XI Punjab"
335995,1,7,1,"Shoaib Malik","MK Tiwary","VRV Singh",0,0,0,1,caught,"Shoaib Malik","B Lee",NA,"Delhi Daredevils","Kings XI Punjab"
335995,1,11,6,"KD Karthik","MK Tiwary","Yuvraj Singh",0,0,0,1,bowled,"KD Karthik",NA,NA,"Delhi Daredevils","Kings XI Punjab"
335995,1,16,4,"R Bhatia","MK Tiwary","IK Pathan",0,0,0,1,bowled,"R Bhatia",NA,NA,"Delhi Daredevils","Kings XI Punjab"
335995,1,17,5,"MK Tiwary","MF Maharoof","VRV Singh",0,0,0,1,caught,"MK Tiwary","Yuvraj Singh",NA,"Delhi Daredevils","Kings XI Punjab"
335995,1,19,6,"MF Maharoof","VY Mahesh","IK Pathan",1,0,1,1,"run out","MF Maharoof","DPMD Jayawardene,KC Sangakkara",NA,"Delhi Daredevils","Kings XI Punjab"
335995,2,0,6,"K Goel","SM Katich","GD McGrath",0,0,0,1,lbw,"K Goel",NA,NA,"Kings XI Punjab","Delhi Daredevils"
335995,2,1,6,"KC Sangakkara","SM Katich","Mohammad Asif",0,0,0,1,caught,"KC Sangakkara","KD Karthik",NA,"Kings XI Punjab","Delhi Daredevils"
335995,2,7,7,"DPMD Jayawardene","SM Katich","Shoaib Malik",0,0,0,1,"caught and bowled","DPMD Jayawardene",NA,NA,"Kings XI Punjab","Delhi Daredevils"
335995,2,13,7,"SM Katich","Yuvraj Singh","R Bhatia",0,0,0,1,"run out","SM Katich","V Sehwag,R Bhatia",NA,"Kings XI Punjab","Delhi Daredevils"
335995,2,16,4,"TM Srivastava","Yuvraj Singh","VY Mahesh",0,0,0,1,caught,"TM Srivastava","KD Karthik",NA,"Kings XI Punjab","Delhi Daredevils"
335995,2,17,7,"IK Pathan","Yuvraj Singh","Mohammad Asif",0,0,0,1,caught,"IK Pathan","KD Karthik",NA,"Kings XI Punjab","Delhi Daredevils"
